ID,Categoria,Presenciou_Acidente,Frequencia_Acidentes,Principal_Causa,Conhece_IA,Experiencia_com_IA,IA_Pode_Reduzir_Acidentes,Apoia_Modernizacao_Transito,Sugestao_Modernizacao
38,Mototaxista,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Fiscalização mais rigorosa
39,Peão,Sim,Muito frequente,Condução imprudente,Sim,Aplicações de reconhecimento facial,Sim,Sim,Aumentar a iluminação pública
40,Motorista,Não,Frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Usar tecnologia de IA no trânsito
41,Mototaxista,Sim,Frequente,Falta de sinalização,Não,Nenhuma,Sim,Sim,Educação para o trânsito nas escolas
42,Mototaxista,Sim,Muito frequente,Condução imprudente,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Mais agentes de trânsito nas ruas
43,Peão,Sim,Raro,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Criar faixas de pedestres
44,Mototaxista,Sim,Muito frequente,Consumo de álcool,Sim,Aplicações de reconhecimento facial,Não,Sim,Instalar câmeras de vigilância
45,Mototaxista,Não,Frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Melhorar a sinalização nas estradas
46,Peão,Não,Frequente,Condução imprudente,Sim,Uso de filtros no Instagram com IA,Não,Sim,Criar faixas de pedestres
47,Mototaxista,Sim,Muito frequente,Falta de sinalização,Não,Nenhuma,Sim,Não,
48,Motorista,Sim,Frequente,Excesso de velocidade,Sim,Nunca ouvi falar antes,Sim,Sim,Aumentar a iluminação pública
49,Mototaxista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Implementar semáforos inteligentes
50,Motorista,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Educação para o trânsito nas escolas
51,Mototaxista,Sim,Raro,Condução imprudente,Não,Nenhuma,Sim,Sim,Construir passadeiras elevadas
52,Mototaxista,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Melhorar a sinalização nas estradas
53,Motorista,Sim,Frequente,Condução imprudente,Sim,Nunca usei IA,Sim,Não,
54,Mototaxista,Sim,Frequente,Consumo de álcool,Sim,Aplicações de reconhecimento facial,Não,Sim,Construir passadeiras elevadas
55,Motorista,Sim,Raro,Condução imprudente,Sim,Nunca ouvi falar antes,Sim,Sim,Implementar semáforos inteligentes
56,Motorista,Sim,Muito frequente,Excesso de velocidade,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Fiscalização mais rigorosa
57,Mototaxista,Sim,Frequente,Excesso de velocidade,Sim,Aplicações de reconhecimento facial,Sim,Sim,Educação para o trânsito nas escolas
58,Mototaxista,Sim,Raro,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Aumentar a iluminação pública
59,Mototaxista,Sim,Raro,Consumo de álcool,Sim,Nunca ouvi falar antes,Sim,Sim,Educação para o trânsito nas escolas
60,Mototaxista,Sim,Muito frequente,Falta de sinalização,Não,Nenhuma,Sim,Sim,Usar tecnologia de IA no trânsito
61,Peão,Não,Frequente,Consumo de álcool,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Criar faixas de pedestres
62,Peão,Sim,Muito frequente,Falta de sinalização,Sim,Aplicações de reconhecimento facial,Sim,Sim,Implementar semáforos inteligentes
63,Mototaxista,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Instalar câmeras de vigilância
64,Motorista,Não,Muito frequente,Excesso de velocidade,Sim,Interação com chatbots de atendimento,Sim,Sim,Construir passadeiras elevadas
65,Mototaxista,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Fiscalização mais rigorosa
66,Peão,Sim,Muito frequente,Falta de sinalização,Não,Nenhuma,Não,Sim,Educação para o trânsito nas escolas
67,Mototaxista,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Não,Sim,Melhorar a sinalização nas estradas
68,Motorista,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Instalar câmeras de vigilância
69,Motorista,Sim,Muito frequente,Consumo de álcool,Sim,Uso de Google Maps com navegação inteligente,Não,Sim,Criar faixas de pedestres
70,Motorista,Não,Muito frequente,Condução imprudente,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Construir passadeiras elevadas
71,Mototaxista,Sim,Raro,Excesso de velocidade,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Criar faixas de pedestres
72,Mototaxista,Não,Muito frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Implementar semáforos inteligentes
73,Motorista,Sim,Muito frequente,Excesso de velocidade,Sim,Nunca ouvi falar antes,Sim,Sim,Usar tecnologia de IA no trânsito
74,Mototaxista,Sim,Muito frequente,Falta de sinalização,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Mais agentes de trânsito nas ruas
75,Mototaxista,Sim,Muito frequente,Condução imprudente,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Educação para o trânsito nas escolas
76,Mototaxista,Sim,Frequente,Excesso de velocidade,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Mais agentes de trânsito nas ruas
77,Peão,Sim,Muito frequente,Falta de sinalização,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Instalar câmeras de vigilância
78,Motorista,Sim,Muito frequente,Consumo de álcool,Sim,Nunca ouvi falar antes,Não,Sim,Usar tecnologia de IA no trânsito
79,Mototaxista,Sim,Muito frequente,Consumo de álcool,Sim,Uso de assistentes virtuais como Siri ou Alexa,Não,Sim,Melhorar a sinalização nas estradas
80,Mototaxista,Sim,Raro,Excesso de velocidade,Sim,Interação com chatbots de atendimento,Sim,Sim,Construir passadeiras elevadas
81,Motorista,Sim,Raro,Excesso de velocidade,Sim,Nunca usei IA,Sim,Sim,Instalar câmeras de vigilância
82,Peão,Sim,Muito frequente,Condução imprudente,Sim,Aplicações de reconhecimento facial,Sim,Sim,Instalar câmeras de vigilância
83,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Educação para o trânsito nas escolas
84,Peão,Sim,Frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Fiscalização mais rigorosa
85,Peão,Sim,Muito frequente,Excesso de velocidade,Sim,Nunca ouvi falar antes,Sim,Sim,Implementar semáforos inteligentes
86,Mototaxista,Sim,Frequente,Consumo de álcool,Sim,Aplicações de reconhecimento facial,Sim,Sim,Instalar câmeras de vigilância
87,Motorista,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Não,Sim,Instalar câmeras de vigilância
88,Peão,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Implementar semáforos inteligentes
89,Mototaxista,Sim,Frequente,Condução imprudente,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Melhorar a sinalização nas estradas
90,Mototaxista,Sim,Muito frequente,Consumo de álcool,Não,Nenhuma,Sim,Sim,Aumentar a iluminação pública
91,Mototaxista,Sim,Frequente,Consumo de álcool,Não,Nenhuma,Sim,Sim,Usar tecnologia de IA no trânsito
92,Mototaxista,Sim,Muito frequente,Condução imprudente,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Mais agentes de trânsito nas ruas
93,Peão,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Fiscalização mais rigorosa
94,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Sim,Não,
95,Motorista,Sim,Raro,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Usar tecnologia de IA no trânsito
96,Mototaxista,Sim,Muito frequente,Consumo de álcool,Sim,Aplicações de reconhecimento facial,Não,Sim,Implementar semáforos inteligentes
97,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Não,Sim,Usar tecnologia de IA no trânsito
98,Peão,Sim,Frequente,Falta de sinalização,Não,Nenhuma,Sim,Não,
99,Peão,Não,Muito frequente,Falta de sinalização,Não,Nenhuma,Sim,Sim,Usar tecnologia de IA no trânsito
100,Motorista,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Não,Sim,Instalar câmeras de vigilância
101,Mototaxista,Não,Muito frequente,Excesso de velocidade,Não,Nenhuma,Sim,Não,
102,Mototaxista,Sim,Frequente,Consumo de álcool,Sim,Aplicações de reconhecimento facial,Sim,Sim,Construir passadeiras elevadas
103,Motorista,Não,Frequente,Consumo de álcool,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Usar tecnologia de IA no trânsito
104,Motorista,Sim,Frequente,Excesso de velocidade,Sim,Nunca usei IA,Sim,Não,
105,Mototaxista,Sim,Raro,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Fiscalização mais rigorosa
106,Mototaxista,Sim,Frequente,Excesso de velocidade,Sim,Nunca ouvi falar antes,Sim,Sim,Educação para o trânsito nas escolas
107,Peão,Sim,Frequente,Excesso de velocidade,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Implementar semáforos inteligentes
108,Mototaxista,Não,Raro,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Implementar semáforos inteligentes
109,Mototaxista,Sim,Frequente,Excesso de velocidade,Sim,Vi notícias sobre carros autónomos,Sim,Não,
110,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Sim,Não,
111,Peão,Sim,Frequente,Consumo de álcool,Não,Nenhuma,Sim,Sim,Educação para o trânsito nas escolas
112,Motorista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Não,Sim,Instalar câmeras de vigilância
113,Mototaxista,Sim,Frequente,Condução imprudente,Sim,Interação com chatbots de atendimento,Sim,Sim,Fiscalização mais rigorosa
114,Mototaxista,Sim,Raro,Condução imprudente,Não,Nenhuma,Não,Sim,Usar tecnologia de IA no trânsito
115,Peão,Sim,Frequente,Condução imprudente,Sim,Aplicações de reconhecimento facial,Sim,Sim,Educação para o trânsito nas escolas
116,Peão,Sim,Muito frequente,Condução imprudente,Sim,Aplicações de reconhecimento facial,Sim,Sim,Implementar semáforos inteligentes
117,Motorista,Não,Muito frequente,Excesso de velocidade,Sim,Interação com chatbots de atendimento,Não,Sim,Construir passadeiras elevadas
118,Motorista,Sim,Frequente,Condução imprudente,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Instalar câmeras de vigilância
119,Peão,Sim,Muito frequente,Condução imprudente,Sim,Aplicações de reconhecimento facial,Sim,Não,
120,Motorista,Sim,Raro,Condução imprudente,Não,Nenhuma,Sim,Não,
121,Mototaxista,Sim,Muito frequente,Falta de sinalização,Sim,Uso de filtros no Instagram com IA,Sim,Não,
122,Motorista,Não,Muito frequente,Falta de sinalização,Sim,Nunca usei IA,Sim,Sim,Usar tecnologia de IA no trânsito
123,Motorista,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Construir passadeiras elevadas
124,Mototaxista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Construir passadeiras elevadas
125,Mototaxista,Não,Muito frequente,Excesso de velocidade,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Instalar câmeras de vigilância
126,Mototaxista,Sim,Muito frequente,Falta de sinalização,Sim,Nunca usei IA,Sim,Sim,Mais agentes de trânsito nas ruas
127,Motorista,Sim,Frequente,Condução imprudente,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Não,
128,Motorista,Não,Frequente,Falta de sinalização,Sim,Aplicações de reconhecimento facial,Sim,Não,
129,Mototaxista,Sim,Frequente,Falta de sinalização,Não,Nenhuma,Sim,Sim,Fiscalização mais rigorosa
130,Mototaxista,Sim,Frequente,Falta de sinalização,Não,Nenhuma,Sim,Sim,Construir passadeiras elevadas
131,Mototaxista,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Criar faixas de pedestres
132,Mototaxista,Sim,Muito frequente,Condução imprudente,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Implementar semáforos inteligentes
133,Peão,Sim,Frequente,Excesso de velocidade,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Aumentar a iluminação pública
134,Motorista,Sim,Frequente,Falta de sinalização,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Criar faixas de pedestres
135,Peão,Sim,Muito frequente,Condução imprudente,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Melhorar a sinalização nas estradas
136,Motorista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Não,Não,
137,Motorista,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Não,Sim,Fiscalização mais rigorosa
138,Mototaxista,Sim,Raro,Falta de sinalização,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Melhorar a sinalização nas estradas
139,Motorista,Não,Muito frequente,Condução imprudente,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Implementar semáforos inteligentes
140,Motorista,Sim,Muito frequente,Excesso de velocidade,Sim,Nunca ouvi falar antes,Sim,Sim,Implementar semáforos inteligentes
141,Motorista,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Implementar semáforos inteligentes
142,Motorista,Sim,Frequente,Falta de sinalização,Sim,Vi notícias sobre carros autónomos,Não,Sim,Educação para o trânsito nas escolas
143,Peão,Sim,Frequente,Excesso de velocidade,Sim,Aplicações de reconhecimento facial,Sim,Sim,Fiscalização mais rigorosa
144,Motorista,Sim,Frequente,Condução imprudente,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Criar faixas de pedestres
145,Mototaxista,Sim,Muito frequente,Falta de sinalização,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Criar faixas de pedestres
146,Peão,Sim,Raro,Condução imprudente,Não,Nenhuma,Sim,Sim,Melhorar a sinalização nas estradas
147,Mototaxista,Sim,Frequente,Falta de sinalização,Sim,Nunca usei IA,Sim,Sim,Fiscalização mais rigorosa
148,Motorista,Sim,Frequente,Consumo de álcool,Sim,Interação com chatbots de atendimento,Sim,Sim,Fiscalização mais rigorosa
149,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Sim,Não,
150,Motorista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Não,Sim,Construir passadeiras elevadas
151,Mototaxista,Não,Muito frequente,Falta de sinalização,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Construir passadeiras elevadas
152,Mototaxista,Sim,Frequente,Excesso de velocidade,Sim,Aplicações de reconhecimento facial,Sim,Sim,Melhorar a sinalização nas estradas
153,Mototaxista,Sim,Frequente,Consumo de álcool,Sim,Nunca ouvi falar antes,Sim,Sim,Aumentar a iluminação pública
154,Motorista,Não,Frequente,Condução imprudente,Não,Nenhuma,Não,Sim,Fiscalização mais rigorosa
155,Mototaxista,Sim,Raro,Condução imprudente,Sim,Aplicações de reconhecimento facial,Sim,Não,
156,Mototaxista,Sim,Frequente,Condução imprudente,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Criar faixas de pedestres
157,Mototaxista,Não,Raro,Condução imprudente,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Aumentar a iluminação pública
158,Peão,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Aumentar a iluminação pública
159,Motorista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Criar faixas de pedestres
160,Motorista,Sim,Muito frequente,Consumo de álcool,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Fiscalização mais rigorosa
161,Mototaxista,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Não,Sim,Aumentar a iluminação pública
162,Peão,Sim,Frequente,Excesso de velocidade,Sim,Nunca ouvi falar antes,Sim,Sim,Fiscalização mais rigorosa
163,Mototaxista,Sim,Frequente,Consumo de álcool,Sim,Interação com chatbots de atendimento,Sim,Sim,Educação para o trânsito nas escolas
164,Mototaxista,Sim,Frequente,Consumo de álcool,Sim,Nunca ouvi falar antes,Não,Não,
165,Motorista,Sim,Frequente,Falta de sinalização,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Implementar semáforos inteligentes
166,Motorista,Não,Frequente,Excesso de velocidade,Não,Nenhuma,Não,Sim,Fiscalização mais rigorosa
167,Mototaxista,Não,Muito frequente,Falta de sinalização,Não,Nenhuma,Sim,Sim,Aumentar a iluminação pública
168,Peão,Sim,Muito frequente,Falta de sinalização,Sim,Nunca usei IA,Sim,Sim,Aumentar a iluminação pública
169,Motorista,Sim,Frequente,Excesso de velocidade,Sim,Nunca ouvi falar antes,Não,Sim,Fiscalização mais rigorosa
170,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Mais agentes de trânsito nas ruas
171,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Sim,Nunca usei IA,Sim,Sim,Melhorar a sinalização nas estradas
172,Motorista,Sim,Frequente,Condução imprudente,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Instalar câmeras de vigilância
173,Mototaxista,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Mais agentes de trânsito nas ruas
174,Motorista,Sim,Muito frequente,Consumo de álcool,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Instalar câmeras de vigilância
175,Motorista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Instalar câmeras de vigilância
176,Mototaxista,Sim,Frequente,Consumo de álcool,Não,Nenhuma,Não,Sim,Fiscalização mais rigorosa
177,Motorista,Sim,Frequente,Condução imprudente,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Instalar câmeras de vigilância
178,Peão,Sim,Raro,Condução imprudente,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Aumentar a iluminação pública
179,Peão,Sim,Muito frequente,Falta de sinalização,Não,Nenhuma,Sim,Sim,Criar faixas de pedestres
180,Mototaxista,Sim,Frequente,Falta de sinalização,Não,Nenhuma,Sim,Sim,Criar faixas de pedestres
181,Mototaxista,Sim,Frequente,Condução imprudente,Sim,Nunca ouvi falar antes,Sim,Sim,Implementar semáforos inteligentes
182,Motorista,Sim,Frequente,Falta de sinalização,Sim,Vi notícias sobre carros autónomos,Não,Sim,Criar faixas de pedestres
183,Motorista,Sim,Muito frequente,Condução imprudente,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Fiscalização mais rigorosa
184,Mototaxista,Sim,Frequente,Excesso de velocidade,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Criar faixas de pedestres
185,Motorista,Sim,Raro,Falta de sinalização,Não,Nenhuma,Sim,Sim,Criar faixas de pedestres
186,Mototaxista,Sim,Raro,Excesso de velocidade,Sim,Nunca usei IA,Sim,Não,
187,Mototaxista,Sim,Muito frequente,Consumo de álcool,Sim,Uso de Google Maps com navegação inteligente,Não,Sim,Melhorar a sinalização nas estradas
188,Peão,Sim,Raro,Falta de sinalização,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Aumentar a iluminação pública
189,Motorista,Sim,Muito frequente,Excesso de velocidade,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Fiscalização mais rigorosa
190,Motorista,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Aumentar a iluminação pública
191,Mototaxista,Não,Muito frequente,Consumo de álcool,Sim,Aplicações de reconhecimento facial,Sim,Sim,Usar tecnologia de IA no trânsito
192,Motorista,Sim,Muito frequente,Consumo de álcool,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Aumentar a iluminação pública
193,Peão,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Sim,Não,
194,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Mais agentes de trânsito nas ruas
195,Motorista,Sim,Frequente,Condução imprudente,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Mais agentes de trânsito nas ruas
196,Motorista,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Não,
197,Mototaxista,Não,Muito frequente,Consumo de álcool,Não,Nenhuma,Sim,Sim,Construir passadeiras elevadas
198,Mototaxista,Sim,Frequente,Condução imprudente,Sim,Vi notícias sobre carros autónomos,Não,Sim,Criar faixas de pedestres
199,Mototaxista,Sim,Muito frequente,Falta de sinalização,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Aumentar a iluminação pública
200,Peão,Sim,Muito frequente,Condução imprudente,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Educação para o trânsito nas escolas
201,Mototaxista,Sim,Muito frequente,Condução imprudente,Sim,Uso de filtros no Instagram com IA,Não,Sim,Aumentar a iluminação pública
202,Mototaxista,Sim,Raro,Condução imprudente,Não,Nenhuma,Sim,Sim,Criar faixas de pedestres
203,Motorista,Não,Muito frequente,Falta de sinalização,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Usar tecnologia de IA no trânsito
204,Motorista,Sim,Muito frequente,Consumo de álcool,Não,Nenhuma,Sim,Sim,Criar faixas de pedestres
205,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Sim,Nunca usei IA,Sim,Sim,Construir passadeiras elevadas
206,Mototaxista,Sim,Muito frequente,Consumo de álcool,Sim,Aplicações de reconhecimento facial,Sim,Sim,Construir passadeiras elevadas
207,Motorista,Sim,Muito frequente,Falta de sinalização,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Mais agentes de trânsito nas ruas
208,Mototaxista,Sim,Muito frequente,Consumo de álcool,Não,Nenhuma,Sim,Sim,Mais agentes de trânsito nas ruas
209,Motorista,Sim,Muito frequente,Condução imprudente,Sim,Vi notícias sobre carros autónomos,Sim,Não,
210,Motorista,Sim,Frequente,Excesso de velocidade,Sim,Interação com chatbots de atendimento,Não,Sim,Construir passadeiras elevadas
211,Motorista,Sim,Muito frequente,Condução imprudente,Sim,Uso de assistentes virtuais como Siri ou Alexa,Não,Sim,Educação para o trânsito nas escolas
212,Motorista,Sim,Muito frequente,Falta de sinalização,Sim,Nunca ouvi falar antes,Sim,Sim,Mais agentes de trânsito nas ruas
213,Peão,Sim,Muito frequente,Excesso de velocidade,Sim,Aplicações de reconhecimento facial,Sim,Sim,Mais agentes de trânsito nas ruas
214,Mototaxista,Sim,Raro,Falta de sinalização,Sim,Nunca ouvi falar antes,Sim,Sim,Implementar semáforos inteligentes
215,Mototaxista,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Educação para o trânsito nas escolas
216,Motorista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Construir passadeiras elevadas
217,Motorista,Sim,Raro,Condução imprudente,Não,Nenhuma,Sim,Sim,Implementar semáforos inteligentes
218,Peão,Sim,Raro,Condução imprudente,Não,Nenhuma,Sim,Sim,Implementar semáforos inteligentes
219,Peão,Sim,Muito frequente,Condução imprudente,Sim,Interação com chatbots de atendimento,Sim,Sim,Mais agentes de trânsito nas ruas
